,name,taste_sweet_sugar,taste_sweet_fruit,taste_fresh,taste_bitters_fruit,taste_bitters_drink,alcohol,amount,mouthfeel,base,soda,etc
43,준 벅,0,1,1.0,0.0,0.0,2.0,3,물,"미도리, 말리부",False,
44,진 토닉,1,0,1.0,0.0,1.0,3.0,3,물,진,True,탄산
45,진 피즈,1,0,1.0,0.0,1.0,3.0,3,물,진,True,탄산
46,카미카제,0,0,1.0,0.0,1.0,5.0,3,물,보드카,False,
47,카타르시스,1,0,1.0,0.0,0.0,7.0,3,물,바카디 151 (럼),False,아몬드
48,코스모폴리탄,0,1,1.0,0.0,0.0,4.0,3,물,보드카,False,
49,쿠바 리브레 (쓴맛?),1,0,1.0,0.0,0.0,3.0,2?,물,럼,True,탄산
50,키르,0,1,1.0,0.0,0.0,3.0,3,물,와인,False,
51,키스 오브 파이어,0,1,1.0,0.0,1.0,5.0,3,물 드라이?,보드카,False,
52,톰 콜린스,1,0,1.0,0.0,0.0,3.0,2,물,진,True,탄산
53,파우스트,0,1,0.0,0.0,1.0,7.0,3,,럼,False,
54,피나 콜라다,0,1,0.0,0.0,0.0,3.0,4,크리미,럼,False,
55,피치 크러쉬,0,1,1.0,0.0,0.0,2.0,3,주스,리큐르,False,
56,핑크 레이디,1,0,0.0,0.0,0.0,4.0,4,크리미,진,False,"달걀, 우유"
57,핑크 진,0,0,1.0,0.0,1.0,5.0,3,물,진,True,탄산
58,하비 월뱅어,1,0,1.0,0.0,1.0,3.0,2,주스,보드카,False,
59,하이볼,1,0,1.0,0.0,0.0,2.0,,,위스키,True,탄산
60,허니문,1,0,1.0,1.0,0.0,5.0,3,"물,주스",브랜디,False,
61,화이트 러시안,1,0,0.0,0.0,1.0,4.0,3,크리미,보드카,False,"커피, 우유"
62,화이트 레이디,0,0,1.0,1.0,1.0,5.0,3,"물,주스",진,False,
63,B-52,1,0,0.0,0.0,1.0,5.0,1,크리미,리큐르,False,"커피, 우유, 초코"
64,OLD PAL,0,0,0.0,1.0,1.0,4.0,3,물,위스키,False,
65,XYZ,0,0,1.0,0.0,1.0,5.0,3,"물,주스",럼,False,
66,골든 메달리스트,1,1,0.0,0.0,0.0,1.0,4,블렌디드,논알콜,False,
67,버진메리,0,1,1.0,1.0,0.0,1.0,3,"물,주스",논알콜,False,
68,신데렐라,0,1,1.0,0.0,0.0,1.0,3,"물,주스",논알콜,False,
69,선라이즈,1,1,1.0,0.0,0.0,1.0,3,"물,주스",논알콜,False,
70,버진 피나 콜라다,1,1,0.0,0.0,0.0,1.0,3,크리미,논알콜,False,
