,단맛(설탕),단맛(과일),상큼(새콤 달콤),쓴맛(과일),쓴맛(술),맛,도전의지,도수,도수_val,양,꺼리는 것,기타,Unnamed: 12,탄산,식감,기주,멘트,Unnamed: 17
사이드카,1,,1.0,,,새콤 달콤 브랜디의 향,,25,5.0,3,,일화 있음,,없음,물,브랜디,조수석,
상그리아,1,,1.0,,,와인에 과일과 탄산수,,6,2.0,3,탄산,파티용으로 많이 만들기도 함,,있음,물,레드와인,,
섹스 온 더 비치,,1,1.0,,,트로피칼 복숭아 오렌지 크랜베리,,10,2.0,4,,이름 재미있죠..,,없음,물,보드카,제 꿈은 말이죠..,
솔티 독,,,,1.0,,자몽의 쓴 맛과 신 맛,,15,3.0,2,,솔티 리밍,,없음,물,보드카,,
스크류 드라이버,,,1.0,,1.0,달콤 오렌지,,20,4.0,3,,오렌지 쥬스 맛,,없음,물,보드카,스크류바 먹고 싶다,
슬로 진 피즈,,,1.0,,,약간 쓴맛 + 신맛,도전,13,3.0,3,탄산,,,있음,물,슬로진,,
시브리즈,,1,1.0,1.0,,달콤 씁쓸,,10,2.0,3,,자몽과 크랜베리,,없음,물,보드카,,
싱가폴 슬링,,1,,,,"새콤달콤 시원한 맛, 체리, 파인애플, 라임",,15,3.0,3,탄산,,,있음,물,진,,
아그와밤,,1,,,1.0,"아구아맛 -> 에너지음료, 코카잎",,15,3.0,2,"에너지드링크, 탄산","샷, 잔이 이쁨, 에너지 드링크",,있음,물과 시럽사이,아구아,#샷 #잔이이쁨 #달려달려,
아이리쉬 카 붐,1,,,,,부드럽고 달콤한맛,도전,12,3.0,4,"초코, 우유, 탄산","원샷을 해야함, 안그러면 베일리스가 굳음",,있음,물과 시럽사이,기네스,원샷을 못하면 베일리스가 굳어요 아~ 미운사람,
예거밤,1,,,,1.0,감기약맛,,10,2.0,2,"에너지드링크, 탄산","샷, 에너지드링크",,있음,시럽,예거마이스터,예거밤을 돌려~,
옥보단,1,,1.0,,,"새콤한맛 베이스, 달콤, 슈가 리밍",,5,2.0,3,,"설탕리밍, 라임/레몬/오렌지 쥬스",,없음,물,"피치트리, 말리부",호색가 미앙생은 순진한 옥향 낭자와 결혼 후 정원에서 아찔한 관계를 맺다 장인에게 걸려 꾸지람을 듣고 수행을 핑계로 집을 나온다. 집을 나와 방랑하던 그는 쾌락을....,
올드 패션드,1,,,,,"위스키의 쓴맛, 설탕의 단맛, 독한만",위스키,30,5.0,2,탄산,클래식 칵테일,,있음,물,버번위스키,유행은 돌고 도는 거지,
잭콕,1,,,,1.0,"위스키의 쓴맛, 콜라의 단맛",,15,3.0,2,있음,가볍게 먹을 수 있다,,있음,물,잭다니엘,쉽고 맛있게!,
준 벅,,1,1.0,,,"달달하고 상큼, 메론과 코코넛",,10,2.0,3,,맛있지만 생각보다 도수는 있다,,없음,물,"미도리, 말리부",6월의 벌레입니다. 진짜에요 진짠데?,
진 토닉,1,,1.0,,1.0,"진의 맛, 상쾌한 탄산, 라임이나 레몬의 향",,14,3.0,3,탄산,간단하지만 바텐더의 실력을 볼 수 있다,,있음,물,진,"네, 진 + 토닉입니다. 닉값하죠?",
진 피즈,1,,1.0,,1.0,"진의 맛, 상쾌한 탄산, 레몬의 향",,14,3.0,3,탄산,피즈는 소다수+설탕+레몬주스,,있음,물,진,,
카미카제,,,1.0,,1.0,"상큼, 라임",,30,5.0,3,,트리플섹(오렌지 큐라소) + 라임 + 보드카 / 처음엔 씁쓸하지만 마무리는 라임주스의 상큼함으로 마무리 됨 ,,없음,물,보드카,,https://youtu.be/FhF9RwkHAJw
카타르시스,1,,1.0,,,"달콤,신맛, 라임, 아마레또(아몬드), 독한맛",도전,51,7.0,3,아몬드,아몬드의 고소하고 단 맛과 라임의 신 맛이 어우러지는 맛 끝 맛은 알코올의 알싸한 맛으로 마무리 됨,,없음,물,바카디 151 (럼),똥 쌀때 느끼는 그거 맞습니다.,
코스모폴리탄,,1,1.0,,,달콤 새콤,,20,4.0,3,,"크랜베리, 오렌지(트리플섹), 라임",,없음,물,보드카,잡지 PPL 아닙니다.,
