name,taste_sweet_sugar,taste_sweet_fruit,taste_fresh,taste_bitters_fruit,taste_bitters_drink,alcohol,amount,mouthfeel,base,soda,etc
피나 콜라다,0,1,0.0,0.0,0.0,3.0,4,크리미,럼,False,없음
피치 크러쉬,0,1,1.0,0.0,0.0,2.0,3,주스,리큐르,False,없음
핑크 레이디,1,0,0.0,0.0,0.0,4.0,4,크리미,진,False,"달걀, 우유"
핑크 진,0,0,1.0,0.0,1.0,5.0,3,물,진,True,탄산
하비 월뱅어,1,0,1.0,0.0,1.0,3.0,2,주스,보드카,False,없음
하이볼,1,0,1.0,0.0,0.0,2.0,,,위스키,True,탄산
허니문,1,0,1.0,1.0,0.0,5.0,3,"물,주스",브랜디,False,없음
화이트 러시안,1,0,0.0,0.0,1.0,4.0,3,크리미,보드카,False,"커피, 우유"
화이트 레이디,0,0,1.0,1.0,1.0,5.0,3,"물,주스",진,False,없음
B-52,1,0,0.0,0.0,1.0,5.0,1,크리미,리큐르,False,"커피, 우유, 초코"
OLD PAL,0,0,0.0,1.0,1.0,4.0,3,물,위스키,False,없음
XYZ,0,0,1.0,0.0,1.0,5.0,3,"물,주스",럼,False,없음
골든 메달리스트,1,1,0.0,0.0,0.0,1.0,4,블렌디드,논알콜,False,없음
버진메리,0,1,1.0,1.0,0.0,1.0,3,"물,주스",논알콜,False,없음
신데렐라,0,1,1.0,0.0,0.0,1.0,3,"물,주스",논알콜,False,없음
선라이즈,1,1,1.0,0.0,0.0,1.0,3,"물,주스",논알콜,False,없음
버진 피나 콜라다,1,1,0.0,0.0,0.0,1.0,3,크리미,논알콜,False,없음
